,@context,@type,itemCondition,name,modelDate,manufacturer,model,color,imageUrl,brand,description,mileageFromOdometer,sku,vehicleIdentificationNumber,offers,itemListElement
0,https://schema.org,Vehicle,Used,2022 Hyundai Santa Cruz,2022.0,Hyundai,Santa Cruz,White,//cdnblob.fastly.carvana.io/2002269625/post-large/normalized/zoomcrop/2002269625-edc-02.jpg,Hyundai,"Used 2022 Hyundai Santa Cruz SEL 4 ft with 2837 miles - $34,590",2837.0,2002269625.0,5NTJCDAE3NH015228,"{'@type': 'Offer', 'price': 34590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2678774'}",
1,https://schema.org,Vehicle,Used,2022 Ford Bronco,2022.0,Ford,Bronco,Black,//cdnblob.fastly.carvana.io/2002321031/post-large/normalized/zoomcrop/2002321031-edc-02.jpg,Ford,"Used 2022 Ford Bronco base with 4748 miles - $46,590",4748.0,2002321031.0,1FMDE5AH2NLB45806,"{'@type': 'Offer', 'price': 46590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2705173'}",
2,https://schema.org,Vehicle,Used,2019 Toyota Highlander,2019.0,Toyota,Highlander,Black,//cdnblob.fastly.carvana.io/2002299567/post-large/normalized/zoomcrop/2002299567-edc-02.jpg,Toyota,"Used 2019 Toyota Highlander Limited with 27704 miles - $38,590",27704.0,2002299567.0,5TDDZRFH5KS727269,"{'@type': 'Offer', 'price': 38590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2689055'}",
3,https://schema.org,Vehicle,Used,2018 Volkswagen Tiguan,2018.0,Volkswagen,Tiguan,Black,//cdnblob.fastly.carvana.io/2001922446/post-large/2001922446-edc-02-search.jpg,Volkswagen,"Used 2018 Volkswagen Tiguan 2.0T SE 4MOTION with 19907 miles - $25,990",19907.0,2001922446.0,3VV2B7AX0JM144834,"{'@type': 'Offer', 'price': 25990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2443022'}",
4,https://schema.org,Vehicle,Used,2019 MAZDA CX-3,2019.0,MAZDA,CX-3,Blue,//cdnblob.fastly.carvana.io/2002288402/post-large/normalized/zoomcrop/2002288402-edc-02.jpg,MAZDA,"Used 2019 MAZDA CX-3 base with 10023 miles - $23,990",10023.0,2002288402.0,JM1DKFB79K1447299,"{'@type': 'Offer', 'price': 23990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2687076'}",
5,https://schema.org,Vehicle,Used,2021 Lexus NX,2021.0,Lexus,NX,White,//cdnblob.fastly.carvana.io/2002320988/post-large/normalized/zoomcrop/2002320988-edc-02.jpg,Lexus,"Used 2021 Lexus NX 300 with 11970 miles - $39,590",11970.0,2002320988.0,JTJDARBZXM5029705,"{'@type': 'Offer', 'price': 39590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2702045'}",
6,https://schema.org,Vehicle,Used,2021 Toyota Highlander,2021.0,Toyota,Highlander,Silver,//cdnblob.fastly.carvana.io/2002292724/post-large/normalized/zoomcrop/2002292724-edc-02.jpg,Toyota,"Used 2021 Toyota Highlander XLE with 16698 miles - $40,990",16698.0,2002292724.0,5TDGZRBH7MS554229,"{'@type': 'Offer', 'price': 40990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2688272'}",
7,https://schema.org,Vehicle,Used,2022 Chevrolet Silverado 1500 Limited Crew Cab,2022.0,Chevrolet,Silverado 1500 Limited Crew Cab,Blue,//cdnblob.fastly.carvana.io/2002326324/post-large/normalized/zoomcrop/2002326324-edc-02.jpg,Chevrolet,"Used 2022 Chevrolet Silverado 1500 Limited Crew Cab LT 5 3/4 ft with 17675 miles - $45,990",17675.0,2002326324.0,3GCUYDED6NG113290,"{'@type': 'Offer', 'price': 45990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2707466'}",
8,https://schema.org,Vehicle,Used,2022 Lexus RX,2022.0,Lexus,RX,Silver,//cdnblob.fastly.carvana.io/2002210260/post-large/normalized/zoomcrop/2002210260-edc-02.jpg,Lexus,"Used 2022 Lexus RX RX 350 with 20931 miles - $46,590",20931.0,2002210260.0,2T2HZMAA7NC240825,"{'@type': 'Offer', 'price': 46590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2635702'}",
9,https://schema.org,Vehicle,Used,2020 Jeep Wrangler Unlimited,2020.0,Jeep,Wrangler Unlimited,White,//cdnblob.fastly.carvana.io/2002281107/post-large/normalized/zoomcrop/2002281107-edc-02.jpg,Jeep,"Used 2020 Jeep Wrangler Unlimited Sport with 11086 miles - $36,990",11086.0,2002281107.0,1C4HJXDG3LW171360,"{'@type': 'Offer', 'price': 36990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2677149'}",
