,@context,@type,itemCondition,name,modelDate,manufacturer,model,color,imageUrl,brand,description,mileageFromOdometer,sku,vehicleIdentificationNumber,offers,itemListElement
0,https://schema.org,Vehicle,Used,2021 Maserati Levante,2021.0,Maserati,Levante,White,//cdnblob.fastly.carvana.io/2002115999/post-large/normalized/zoomcrop/2002115999-edc-02.jpg,Maserati,"Used 2021 Maserati Levante S GranLusso with 19722 miles - $61,590",19722.0,2002115999.0,ZN661YUL5MX363075,"{'@type': 'Offer', 'price': 61590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2582224'}",
1,https://schema.org,Vehicle,Used,2019 Jeep Compass,2019.0,Jeep,Compass,Black,//cdnblob.fastly.carvana.io/2002315866/post-large/normalized/zoomcrop/2002315866-edc-02.jpg,Jeep,"Used 2019 Jeep Compass Upland with 21642 miles - $25,990",21642.0,2002315866.0,3C4NJDAB9KT854078,"{'@type': 'Offer', 'price': 25990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2699707'}",
2,https://schema.org,Vehicle,Used,2021 Jeep Gladiator,2021.0,Jeep,Gladiator,White,//cdnblob.fastly.carvana.io/2002283983/post-large/normalized/zoomcrop/2002283983-edc-02.jpg,Jeep,"Used 2021 Jeep Gladiator Mojave 5 ft with 3961 miles - $50,990",3961.0,2002283983.0,1C6JJTEG2ML593381,"{'@type': 'Offer', 'price': 50990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2686661'}",
3,https://schema.org,Vehicle,Used,2022 Chevrolet Equinox,2022.0,Chevrolet,Equinox,White,//cdnblob.fastly.carvana.io/2002276173/post-large/normalized/zoomcrop/2002276173-edc-02.jpg,Chevrolet,"Used 2022 Chevrolet Equinox LS with 1207 miles - $28,990",1207.0,2002276173.0,3GNAXHEV8NS214535,"{'@type': 'Offer', 'price': 28990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2677142'}",
4,https://schema.org,Vehicle,Used,2021 Kia Seltos,2021.0,Kia,Seltos,Black,//cdnblob.fastly.carvana.io/2002305519/post-large/normalized/zoomcrop/2002305519-edc-02.jpg,Kia,"Used 2021 Kia Seltos LX with 19768 miles - $25,990",19768.0,2002305519.0,KNDEPCAA1M7180158,"{'@type': 'Offer', 'price': 25990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2691808'}",
5,https://schema.org,Vehicle,Used,2020 Jeep Wrangler,2020.0,Jeep,Wrangler,White,//cdnblob.fastly.carvana.io/2002336147/post-large/normalized/zoomcrop/2002336147-edc-02.jpg,Jeep,"Used 2020 Jeep Wrangler Sport S with 5993 miles - $37,990",5993.0,2002336147.0,1C4GJXAN1LW134547,"{'@type': 'Offer', 'price': 37990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2709015'}",
6,https://schema.org,Vehicle,Used,2018 Toyota 4Runner,2018.0,Toyota,4Runner,Silver,//cdnblob.fastly.carvana.io/2002045317/post-large/normalized/zoomcrop/2002045317-edc-02.jpg,Toyota,"Used 2018 Toyota 4Runner Limited with 7159 miles - $44,590",7159.0,2002045317.0,JTEBU5JR0J5609872,"{'@type': 'Offer', 'price': 44590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2536254'}",
7,https://schema.org,Vehicle,Used,2021 Chevrolet Camaro,2021.0,Chevrolet,Camaro,Blue,//cdnblob.fastly.carvana.io/2002271187/post-large/normalized/zoomcrop/2002271187-edc-02.jpg,Chevrolet,"Used 2021 Chevrolet Camaro LT with 9474 miles - $34,590",9474.0,2002271187.0,1G1FB1RS2M0102218,"{'@type': 'Offer', 'price': 34590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2673770'}",
8,https://schema.org,Vehicle,Used,2021 Toyota Highlander Hybrid,2021.0,Toyota,Highlander Hybrid,Gray,//cdnblob.fastly.carvana.io/2002237690/post-large/normalized/zoomcrop/2002237690-edc-02.jpg,Toyota,"Used 2021 Toyota Highlander Hybrid XLE with 29545 miles - $44,990",29545.0,2002237690.0,5TDHARAH1MS504651,"{'@type': 'Offer', 'price': 44990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2651564'}",
9,https://schema.org,Vehicle,Used,2021 Hyundai Venue,2021.0,Hyundai,Venue,White,//cdnblob.fastly.carvana.io/2002304029/post-large/normalized/zoomcrop/2002304029-edc-02.jpg,Hyundai,"Used 2021 Hyundai Venue SE with 9738 miles - $23,590",9738.0,2002304029.0,KMHRB8A3XMU108757,"{'@type': 'Offer', 'price': 23590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2690843'}",
