,@context,@type,itemCondition,name,modelDate,manufacturer,model,color,imageUrl,brand,description,mileageFromOdometer,sku,vehicleIdentificationNumber,offers,itemListElement
11,https://schema.org,Vehicle,Used,2019 Volkswagen Atlas,2019.0,Volkswagen,Atlas,Blue,//cdnblob.fastly.carvana.io/2000588352/post-large/normalized/zoomcrop/2000588352-edc-02.jpg,Volkswagen,"Used 2019 Volkswagen Atlas SE 4Motion w/Tech Pkg with 23130 miles - $30,990",23130.0,2000588352.0,1V2UR2CA2KC571819,"{'@type': 'Offer', 'price': 30990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/1465657'}",
12,https://schema.org,Vehicle,Used,2022 Chevrolet Trailblazer,2022.0,Chevrolet,Trailblazer,White,//cdnblob.fastly.carvana.io/2002300636/post-large/normalized/zoomcrop/2002300636-edc-02.jpg,Chevrolet,"Used 2022 Chevrolet Trailblazer RS with 10561 miles - $31,590",10561.0,2002300636.0,KL79MUSL9NB040175,"{'@type': 'Offer', 'price': 31590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2695527'}",
13,https://schema.org,Vehicle,Used,2023 Nissan Frontier Crew Cab,2023.0,Nissan,Frontier Crew Cab,White,//cdnblob.fastly.carvana.io/2002320993/post-large/normalized/zoomcrop/2002320993-edc-02.jpg,Nissan,"Used 2023 Nissan Frontier Crew Cab S 5 ft with 2370 miles - $35,590",2370.0,2002320993.0,1N6ED1EJXPN614078,"{'@type': 'Offer', 'price': 35590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2700126'}",
14,https://schema.org,Vehicle,Used,2019 GMC Sierra 1500 Crew Cab,2019.0,GMC,Sierra 1500 Crew Cab,White,//cdnblob.fastly.carvana.io/2002314996/post-large/normalized/zoomcrop/2002314996-edc-02.jpg,GMC,"Used 2019 GMC Sierra 1500 Crew Cab SLT 5 3/4 ft with 11334 miles - $46,990",11334.0,2002314996.0,3GTP8DED2KG214125,"{'@type': 'Offer', 'price': 46990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2699553'}",
15,https://schema.org,Vehicle,Used,2022 INFINITI QX60,2022.0,INFINITI,QX60,Silver,//cdnblob.fastly.carvana.io/2002300437/post-large/normalized/zoomcrop/2002300437-edc-02.jpg,INFINITI,"Used 2022 INFINITI QX60 PURE with 10301 miles - $46,990",10301.0,2002300437.0,5N1DL1ER9NC336141,"{'@type': 'Offer', 'price': 46990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2692964'}",
16,https://schema.org,Vehicle,Used,2022 Chrysler Pacifica,2022.0,Chrysler,Pacifica,Gray,//cdnblob.fastly.carvana.io/2002280272/post-large/2002280272-edc-02-search.jpg,Chrysler,"Used 2022 Chrysler Pacifica Limited with 27610 miles - $42,300",27610.0,2002280272.0,2C4RC1GG7NR161935,"{'@type': 'Offer', 'price': 42300, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2681161'}",
17,https://schema.org,Vehicle,Used,2023 Hyundai Elantra,2023.0,Hyundai,Elantra,White,//cdnblob.fastly.carvana.io/2002337268/post-large/normalized/zoomcrop/2002337268-edc-02.jpg,Hyundai,"Used 2023 Hyundai Elantra SEL with 9079 miles - $25,990",9079.0,2002337268.0,5NPLM4AG2PH100599,"{'@type': 'Offer', 'price': 25990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2717076'}",
18,https://schema.org,Vehicle,Used,2020 Mercedes-Benz E-Class,2020.0,Mercedes-Benz,E-Class,White,//cdnblob.fastly.carvana.io/2002226389/post-large/normalized/zoomcrop/2002226389-edc-02.jpg,Mercedes-Benz,"Used 2020 Mercedes-Benz E-Class E 350 with 21236 miles - $39,590",21236.0,2002226389.0,W1KZF8DB0LA837982,"{'@type': 'Offer', 'price': 39590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2645363'}",
19,https://schema.org,Vehicle,Used,2022 Chrysler Pacifica,2022.0,Chrysler,Pacifica,White,//cdnblob.fastly.carvana.io/2002278396/post-large/2002278396-edc-02-search.jpg,Chrysler,"Used 2022 Chrysler Pacifica Touring L with 19225 miles - $39,216",19225.0,2002278396.0,2C4RC1BG6NR152537,"{'@type': 'Offer', 'price': 39216, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2693794'}",
20,https://schema.org,BreadcrumbList,,,,,,,,,,,,,,"[{'@type': 'ListItem', 'position': 0, 'item': {'@id': 'https://www.carvana.com/cars/undefined', 'name': '2018-2023'}}]"
21,https://schema.org,Vehicle,Used,2022 MAZDA MX-30,2022.0,MAZDA,MX-30,White,//cdnblob.fastly.carvana.io/2002290231/post-large/normalized/zoomcrop/2002290231-edc-02.jpg,MAZDA,"Used 2022 MAZDA MX-30 Premium Plus with 4507 miles - $32,990",4507.0,2002290231.0,JM1DRACB9N0100180,"{'@type': 'Offer', 'price': 32990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2687890'}",
22,https://schema.org,Vehicle,Used,2020 Mercedes-Benz GLC,2020.0,Mercedes-Benz,GLC,Silver,//cdnblob.fastly.carvana.io/2002250406/post-large/normalized/zoomcrop/2002250406-edc-02.jpg,Mercedes-Benz,"Used 2020 Mercedes-Benz GLC GLC 300 with 11475 miles - $38,990",11475.0,2002250406.0,W1N0G8DB3LF809332,"{'@type': 'Offer', 'price': 38990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2665609'}",
23,https://schema.org,Vehicle,Used,2018 Jeep Wrangler,2018.0,Jeep,Wrangler,White,//cdnblob.fastly.carvana.io/2002326185/post-large/normalized/zoomcrop/2002326185-edc-02.jpg,Jeep,"Used 2018 Jeep Wrangler All New Sport with 19093 miles - $34,590",19093.0,2002326185.0,1C4GJXAG1JW151220,"{'@type': 'Offer', 'price': 34590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2706207'}",
24,https://schema.org,Vehicle,Used,2018 Alfa Romeo Stelvio,2018.0,Alfa Romeo,Stelvio,White,//cdnblob.fastly.carvana.io/2002309002/post-large/normalized/zoomcrop/2002309002-edc-02.jpg,Alfa Romeo,"Used 2018 Alfa Romeo Stelvio Ti Sport with 25376 miles - $30,990",25376.0,2002309002.0,ZASFAKNN7J7B70508,"{'@type': 'Offer', 'price': 30990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2695695'}",
25,https://schema.org,Vehicle,Used,2021 Chevrolet Silverado 1500 Crew Cab,2021.0,Chevrolet,Silverado 1500 Crew Cab,Black,//cdnblob.fastly.carvana.io/2002249383/post-large/normalized/zoomcrop/2002249383-edc-02.jpg,Chevrolet,"Used 2021 Chevrolet Silverado 1500 Crew Cab Custom 5 3/4 ft with 5075 miles - $38,590",5075.0,2002249383.0,3GCPWBEK1MG260637,"{'@type': 'Offer', 'price': 38590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2659039'}",
26,https://schema.org,Vehicle,Used,2019 Nissan Frontier Crew Cab,2019.0,Nissan,Frontier Crew Cab,Black,//cdnblob.fastly.carvana.io/2002313929/post-large/normalized/zoomcrop/2002313929-edc-02.jpg,Nissan,"Used 2019 Nissan Frontier Crew Cab PRO-4X 5 ft with 22377 miles - $34,990",22377.0,2002313929.0,1N6AD0EV9KN778796,"{'@type': 'Offer', 'price': 34990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2705758'}",
27,https://schema.org,Vehicle,Used,2021 Chevrolet Camaro,2021.0,Chevrolet,Camaro,Black,//cdnblob.fastly.carvana.io/2002271556/post-large/normalized/zoomcrop/2002271556-edc-02.jpg,Chevrolet,"Used 2021 Chevrolet Camaro SS with 10218 miles - $48,590",10218.0,2002271556.0,1G1FH1R71M0101426,"{'@type': 'Offer', 'price': 48590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2675085'}",
28,https://schema.org,Vehicle,Used,2022 Kia Forte,2022.0,Kia,Forte,Black,//cdnblob.fastly.carvana.io/2002283275/post-large/normalized/zoomcrop/2002283275-edc-02.jpg,Kia,"Used 2022 Kia Forte LXS with 2475 miles - $23,990",2475.0,2002283275.0,3KPF24AD3NE498027,"{'@type': 'Offer', 'price': 23990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2688736'}",
29,https://schema.org,Vehicle,Used,2020 BMW 5 Series,2020.0,BMW,5 Series,Blue,//cdnblob.fastly.carvana.io/2002295052/post-large/normalized/zoomcrop/2002295052-edc-02.jpg,BMW,"Used 2020 BMW 5 Series 530e with 17851 miles - $39,590",17851.0,2002295052.0,WBAJA9C04LCD29188,"{'@type': 'Offer', 'price': 39590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2692421'}",
30,https://schema.org,Vehicle,Used,2020 Nissan Kicks,2020.0,Nissan,Kicks,White,//cdnblob.fastly.carvana.io/2002320216/post-large/normalized/zoomcrop/2002320216-edc-02.jpg,Nissan,"Used 2020 Nissan Kicks SR with 14446 miles - $26,590",14446.0,2002320216.0,3N1CP5DV5LL531457,"{'@type': 'Offer', 'price': 26590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2715767'}",
31,https://schema.org,Vehicle,Used,2020 Ford Edge,2020.0,Ford,Edge,White,//cdnblob.fastly.carvana.io/2002302214/post-large/normalized/zoomcrop/2002302214-edc-02.jpg,Ford,"Used 2020 Ford Edge ST Line with 9433 miles - $33,990",9433.0,2002302214.0,2FMPK3J97LBB33957,"{'@type': 'Offer', 'price': 33990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2692076'}",
32,https://schema.org,Vehicle,Used,2022 Chrysler Pacifica,2022.0,Chrysler,Pacifica,White,//cdnblob.fastly.carvana.io/2002309426/post-large/normalized/zoomcrop/2002309426-edc-02.jpg,Chrysler,"Used 2022 Chrysler Pacifica Limited with 28755 miles - $40,590",28755.0,2002309426.0,2C4RC1GGXNR161962,"{'@type': 'Offer', 'price': 40590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2696976'}",
33,https://schema.org,Vehicle,Used,2021 MAZDA CX-30,2021.0,MAZDA,CX-30,Black,//cdnblob.fastly.carvana.io/2002290068/post-large/normalized/zoomcrop/2002290068-edc-02.jpg,MAZDA,"Used 2021 MAZDA CX-30 Premium with 27990 miles - $28,990",27990.0,2002290068.0,3MVDMBDL7MM201742,"{'@type': 'Offer', 'price': 28990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2682456'}",
34,https://schema.org,Vehicle,Used,2022 Chevrolet Trailblazer,2022.0,Chevrolet,Trailblazer,Black,//cdnblob.fastly.carvana.io/2002242778/post-large/normalized/zoomcrop/2002242778-edc-02.jpg,Chevrolet,"Used 2022 Chevrolet Trailblazer LT with 11915 miles - $28,990",11915.0,2002242778.0,KL79MRSL1NB079520,"{'@type': 'Offer', 'price': 28990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2659541'}",
35,https://schema.org,Vehicle,Used,2022 Chevrolet Camaro,2022.0,Chevrolet,Camaro,Black,//cdnblob.fastly.carvana.io/2002265623/post-large/normalized/zoomcrop/2002265623-edc-02.jpg,Chevrolet,"Used 2022 Chevrolet Camaro LT with 13601 miles - $30,990",13601.0,2002265623.0,1G1FB1RX6N0114594,"{'@type': 'Offer', 'price': 30990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2673423'}",
36,https://schema.org,Vehicle,Used,2019 Lincoln MKC,2019.0,Lincoln,MKC,Other,//cdnblob.fastly.carvana.io/2002314080/post-large/normalized/zoomcrop/2002314080-edc-02.jpg,Lincoln,"Used 2019 Lincoln MKC Select with 19082 miles - $31,590",19082.0,2002314080.0,5LMCJ2D93KUL38060,"{'@type': 'Offer', 'price': 31590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2703897'}",
37,https://schema.org,Vehicle,Used,2020 Hyundai Palisade,2020.0,Hyundai,Palisade,Gray,//cdnblob.fastly.carvana.io/2002301116/post-large/normalized/zoomcrop/2002301116-edc-02.jpg,Hyundai,"Used 2020 Hyundai Palisade Limited with 17689 miles - $43,590",17689.0,2002301116.0,KM8R54HE0LU135777,"{'@type': 'Offer', 'price': 43590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2696327'}",
38,https://schema.org,Vehicle,Used,2021 Hyundai Palisade,2021.0,Hyundai,Palisade,White,//cdnblob.fastly.carvana.io/2002294435/post-large/normalized/zoomcrop/2002294435-edc-02.jpg,Hyundai,"Used 2021 Hyundai Palisade SEL with 11980 miles - $41,990",11980.0,2002294435.0,KM8R3DHE8MU262705,"{'@type': 'Offer', 'price': 41990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2685831'}",
39,https://schema.org,Vehicle,Used,2021 Jeep Wrangler,2021.0,Jeep,Wrangler,Green,//cdnblob.fastly.carvana.io/2002324702/post-large/normalized/zoomcrop/2002324702-edc-02.jpg,Jeep,"Used 2021 Jeep Wrangler Rubicon with 12038 miles - $44,590",12038.0,2002324702.0,1C4HJXCN1MW769738,"{'@type': 'Offer', 'price': 44590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2708855'}",
40,https://schema.org,Vehicle,Used,2019 Mercedes-Benz E-Class,2019.0,Mercedes-Benz,E-Class,Red,//cdnblob.fastly.carvana.io/2002288207/post-large/normalized/zoomcrop/2002288207-edc-02.jpg,Mercedes-Benz,"Used 2019 Mercedes-Benz E-Class E 450 4MATIC with 11400 miles - $58,590",11400.0,2002288207.0,WDD1K6JB4KF099798,"{'@type': 'Offer', 'price': 58590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2681284'}",
41,https://schema.org,BreadcrumbList,,,,,,,,,,,,,,"[{'@type': 'ListItem', 'position': 0, 'item': {'@id': 'https://www.carvana.com/cars/undefined', 'name': '2018-2023'}}]"
42,https://schema.org,Vehicle,Used,2019 Mercedes-Benz E-Class,2019.0,Mercedes-Benz,E-Class,Red,//cdnblob.fastly.carvana.io/2002288207/post-large/normalized/zoomcrop/2002288207-edc-02.jpg,Mercedes-Benz,"Used 2019 Mercedes-Benz E-Class E 450 4MATIC with 11400 miles - $58,590",11400.0,2002288207.0,WDD1K6JB4KF099798,"{'@type': 'Offer', 'price': 58590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2681284'}",
43,https://schema.org,Vehicle,Used,2022 Cadillac XT4,2022.0,Cadillac,XT4,Blue,//cdnblob.fastly.carvana.io/2002311878/post-large/normalized/zoomcrop/2002311878-edc-02.jpg,Cadillac,"Used 2022 Cadillac XT4 Premium Luxury with 6260 miles - $43,990",6260.0,2002311878.0,1GYFZCR48NF105830,"{'@type': 'Offer', 'price': 43990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2705056'}",
44,https://schema.org,Vehicle,Used,2021 Alfa Romeo Stelvio,2021.0,Alfa Romeo,Stelvio,Red,//cdnblob.fastly.carvana.io/2002317956/post-large/normalized/zoomcrop/2002317956-edc-02.jpg,Alfa Romeo,"Used 2021 Alfa Romeo Stelvio Sprint with 15843 miles - $33,590",15843.0,2002317956.0,ZASPAKAN1M7C98578,"{'@type': 'Offer', 'price': 33590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2704244'}",
45,https://schema.org,Vehicle,Used,2022 Nissan Pathfinder,2022.0,Nissan,Pathfinder,White,//cdnblob.fastly.carvana.io/2002336949/post-large/normalized/zoomcrop/2002336949-edc-02.jpg,Nissan,"Used 2022 Nissan Pathfinder SL with 6691 miles - $42,990",6691.0,2002336949.0,5N1DR3CC0NC266974,"{'@type': 'Offer', 'price': 42990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2714209'}",
46,https://schema.org,Vehicle,Used,2020 Jeep Wrangler Unlimited,2020.0,Jeep,Wrangler Unlimited,Black,//cdnblob.fastly.carvana.io/2002295979/post-large/normalized/zoomcrop/2002295979-edc-02.jpg,Jeep,"Used 2020 Jeep Wrangler Unlimited Sport with 18341 miles - $35,590",18341.0,2002295979.0,1C4HJXDG1LW120410,"{'@type': 'Offer', 'price': 35590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2690631'}",
47,https://schema.org,Vehicle,Used,2022 Kia EV6,2022.0,Kia,EV6,Gray,//cdnblob.fastly.carvana.io/2002099543/post-large/normalized/zoomcrop/2002099543-edc-02.jpg,Kia,"Used 2022 Kia EV6 Wind with 10950 miles - $42,590",10950.0,2002099543.0,KNDC34LA2N5028876,"{'@type': 'Offer', 'price': 42590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2572008'}",
48,https://schema.org,Vehicle,Used,2022 Rivian R1T,2022.0,Rivian,R1T,Green,//cdnblob.fastly.carvana.io/2002032994/post-large/2002032994-edc-02-search.jpg,Rivian,"Used 2022 Rivian R1T Launch Edition 4 1/2 ft with 7387 miles - $95,990",7387.0,2002032994.0,7FCTGAAL4NN000479,"{'@type': 'Offer', 'price': 95990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2522857'}",
49,https://schema.org,Vehicle,Used,2018 Mercedes-Benz C-Class,2018.0,Mercedes-Benz,C-Class,Gray,//cdnblob.fastly.carvana.io/2002310091/post-large/normalized/zoomcrop/2002310091-edc-02.jpg,Mercedes-Benz,"Used 2018 Mercedes-Benz C-Class C 350e Plug-In Hybrid with 23835 miles - $31,590",23835.0,2002310091.0,55SWF4HB8JU270732,"{'@type': 'Offer', 'price': 31590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2696365'}",
